[2024-02-16 16:14:22,037: INFO: main: hello to project]
[2024-02-16 17:08:56,728: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-02-16 17:08:57,083: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-16 17:08:57,087: INFO: common: created directory at: artifacts]
[2024-02-16 17:08:57,091: INFO: common: created directory at: artifacts/data_ingestion]
[2024-02-16 17:09:11,827: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-02-16 17:09:11,831: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-16 17:09:11,920: INFO: common: created directory at: artifacts]
[2024-02-16 17:09:11,923: INFO: common: created directory at: artifacts/data_ingestion]
[2024-02-16 17:09:11,929: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1GlduwwJM0rMSvCzaWWqK14v5YBW0d-q-/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-02-16 17:10:01,321: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1GlduwwJM0rMSvCzaWWqK14v5YBW0d-q-/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-02-16 17:29:12,997: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-02-16 17:29:13,004: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-02-16 17:29:13,009: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-16 17:29:13,010: INFO: common: created directory at: artifacts]
[2024-02-16 17:29:13,011: INFO: common: created directory at: artifacts/data_ingestion]
[2024-02-16 17:29:13,011: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1GlduwwJM0rMSvCzaWWqK14v5YBW0d-q-/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-02-16 17:30:27,649: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1GlduwwJM0rMSvCzaWWqK14v5YBW0d-q-/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-02-16 17:31:44,460: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
